chip,chipinstance,sd_freq,mean,label
Chip1,C1I1,17.361955535019668,220.55,0
Chip1,C1I2,16.164157880941406,206.2,1
Chip1,C1I3,15.573615508288375,199.25,1
Chip1,C1I4,15.30751449452197,194.8,1
Chip1,C1I5,15.0790417467424,190.85,1
Chip1,C1I6,14.570861333497069,186.5,1
Chip1,C1I7,14.299562930383578,181.35,1
Chip1,C1I8,13.950985628262973,177.10000000000002,1
Chip1,C1I9,15.390175437596541,196.04999999999998,1
Chip1,C1I10,16.793376670580578,213.64999999999995,1
Chip1,C1I11,16.564721549123604,210.1,1
Chip1,C1I12,16.059887919907787,207.59999999999997,1
Chip1,C1I13,16.138695734166376,205.65,1
Chip1,C1I14,15.966762351835765,203.25,1
Chip1,C1I15,15.697133496278864,200.60000000000002,1
Chip1,C1I16,15.508384828859514,198.09999999999997,1
Chip1,C1I17,16.434643287884292,209.54999999999998,1
Chip1,C1I18,15.796122942038659,201.45,1
Chip1,C1I19,15.251803172084275,194.05,1
Chip1,C1I20,14.586294937371862,186.60000000000002,1
Chip1,C1I21,13.980611574605737,178.35000000000002,1
Chip1,C1I22,13.657873187286516,171.55,1
Chip1,C1I23,13.127071265137547,164.60000000000002,1
Chip1,C1I24,13.157507362718817,164.39999999999998,1
Chip1,C1I25,17.241809649801844,220.79999999999998,0
Chip2,C2I1,16.91973699559186,215.75000000000003,0
Chip2,C2I2,15.900628918379295,201.7,1
Chip2,C2I3,15.364895053335049,195.0,1
Chip2,C2I4,14.97197381777032,190.4,1
Chip2,C2I5,14.592806447013542,186.7,1
Chip2,C2I6,14.275503493747605,182.49999999999997,1
Chip2,C2I7,13.646977687385581,177.39999999999998,1
Chip2,C2I8,13.67982090526042,173.25000000000003,1
Chip2,C2I9,15.150907563575192,191.7,1
Chip2,C2I10,16.348012111568803,208.75,1
Chip2,C2I11,16.2184308735463,205.35000000000002,1
Chip2,C2I12,15.99304536353224,203.15,1
Chip2,C2I13,15.75690324905246,201.0,1
Chip2,C2I14,15.628739552503902,198.84999999999997,1
Chip2,C2I15,15.37888162383728,196.30000000000004,1
Chip2,C2I16,15.268185877831066,193.85,1
Chip2,C2I17,16.149303390549083,205.20000000000002,1
Chip2,C2I18,15.41679279227687,197.75000000000003,1
Chip2,C2I19,15.023232009125072,190.75,1
Chip2,C2I20,14.415182967968185,183.85,1
Chip2,C2I21,13.921206844235881,176.20000000000002,1
Chip2,C2I22,13.490366933482578,169.7,1
Chip2,C2I23,12.945172845505,163.15,1
Chip2,C2I24,13.040609648325498,162.85000000000002,1
Chip2,C2I25,16.91382570561729,215.85,0
Chip3,C3I1,17.175564037317674,215.8,0
Chip3,C3I2,16.225828176090115,201.85,1
Chip3,C3I3,15.65239598272418,195.35,1
Chip3,C3I4,15.343972758057157,190.95,1
Chip3,C3I5,14.963622556052396,187.1,1
Chip3,C3I6,14.612323566086259,183.0,1
Chip3,C3I7,14.338409953687332,178.1,1
Chip3,C3I8,13.979896280015817,173.75,1
Chip3,C3I9,15.377174642957009,192.04999999999998,1
Chip3,C3I10,16.88127661049365,208.85,1
Chip3,C3I11,16.484462381284985,205.55000000000004,1
Chip3,C3I12,16.4,203.4,1
Chip3,C3I13,16.101863246220915,201.3,1
Chip3,C3I14,15.91783590818802,199.14999999999998,1
Chip3,C3I15,15.79493589730582,196.6,1
Chip3,C3I16,15.550482307632779,194.05,1
Chip3,C3I17,16.4127237227707,205.25,1
Chip3,C3I18,15.876712506057421,197.90000000000003,1
Chip3,C3I19,15.343972758057157,190.95,1
Chip3,C3I20,14.693450922094511,184.05,1
Chip3,C3I21,14.32122550621978,176.45000000000002,1
Chip3,C3I22,13.75499909123952,170.0,1
Chip3,C3I23,13.236974729899579,163.54999999999998,1
Chip3,C3I24,13.258582126305965,163.29999999999998,1
Chip3,C3I25,17.2591280196886,215.85,0
Chip4,C4I1,19.206183899983877,231.05,0
Chip4,C4I2,17.794100145834854,216.9,1
Chip4,C4I3,17.398203930291203,209.95,1
Chip4,C4I4,16.990291345353672,205.29999999999998,1
Chip4,C4I5,16.5806362965961,201.45,1
Chip4,C4I6,16.27014136386036,197.04999999999998,1
Chip4,C4I7,15.819529070108246,191.95000000000002,1
Chip4,C4I8,15.487979209696785,187.45,1
Chip4,C4I9,16.995293466133504,206.4,1
Chip4,C4I10,18.496959209556582,224.05,1
Chip4,C4I11,18.282163438718076,220.64999999999998,1
Chip4,C4I12,18.141044622623024,218.45,1
Chip4,C4I13,17.79206283711925,216.25,1
Chip4,C4I14,17.682759965570984,214.0,1
Chip4,C4I15,17.417232845661797,211.2,1
Chip4,C4I16,17.305490458233184,208.6,1
Chip4,C4I17,18.282163438718072,220.25,1
Chip4,C4I18,17.592043656153194,212.4,1
Chip4,C4I19,16.98469899644972,204.8,1
Chip4,C4I20,16.27014136386037,197.45,1
Chip4,C4I21,15.625619987699684,189.4,1
