187.2,200.4,218,230.8,221.2,224,214,247.6
175.6,187.6,203.6,216.4,206.8,209.6,200.8,232
170,181.6,197.2,209.2,200.4,202.8,194.4,224
166,177.6,192.8,204.4,196,198.4,190,219.6
163.2,174,189.2,200.8,192,194.4,186,215.2
159.6,170,184.8,196.4,187.6,190,182,210
155.2,165.6,180.4,191.2,182.8,185.2,177.2,204.4
151.6,162,176,186.4,178.8,181.2,173.2,200
167.2,178.8,194,205.6,197.2,199.6,191.2,220.8
182,194,210.8,223.2,214,216.8,207.2,240
178.8,190.8,207.6,220,210.4,213.2,204.4,236
177.2,188.8,205.2,218,208.4,211.2,202.4,234
175.2,186.8,203.2,215.6,206.4,208.8,200.4,231.2
173.2,185.2,201.2,213.2,204,206.8,198,228.8
171.2,183.2,198.8,210.8,201.6,204.4,195.6,226
168.8,180.8,196.4,208,199.2,202,193.2,223.2
178.8,190.8,207.2,220,210,212.8,204,236
172,183.6,200,211.6,203.2,205.2,196.8,227.2
166,177.6,192.8,204.4,196,198.4,190,219.6
160.4,171.2,186,197.6,188.8,191.2,183.2,211.6
153.6,164,178.4,189.2,181.2,183.2,175.6,202.8
148,158.4,171.6,182.4,174.8,176.8,169.2,195.6
142,152,164.8,175.6,167.6,170,162.4,188
142,151.6,164.4,175.2,167.2,169.6,162,187.6
187.6,200.4,218,231.2,221.2,224,214.4,247.6
