186.4,199.2,218,231.2,220,225.2,216,248
174.8,186.4,204,216.4,205.6,210.8,202.4,232.4
169.2,180.4,197.6,209.2,199.2,203.6,195.6,224.8
165.6,176.4,193.2,204.4,194.8,199.6,191.2,220
162.4,172.8,189.2,200.8,190.8,195.6,187.6,215.6
158.8,169.2,185.2,196.4,186.8,191.2,184,210.8
154.4,164.8,180.4,191.2,182,186,178.8,204.8
150.8,160.8,176,186.8,177.6,182,174.4,200.4
166.4,177.6,194.4,206,196,200.8,192.8,221.6
181.2,192.8,211.2,223.6,212.8,218,209.2,240.4
178,189.6,207.6,220.4,209.6,214.4,206,236.8
176.4,187.6,205.6,218,207.2,212.4,204,234.4
174.4,186,203.6,216,205.2,210,202,232
172.4,183.6,201.6,213.6,203.2,207.6,199.6,229.2
170.4,181.6,198.8,210.8,200.8,205.2,197.2,226.4
168,179.6,196.4,208,198,202.8,194.8,223.6
178,189.6,207.6,220,209.2,214.4,205.6,236.4
171.6,182.8,200.4,212,202,206.4,198.4,228
165.6,176.4,193.2,204.8,194.8,199.6,191.6,220
160,170.4,186.4,197.6,187.6,192.4,184.8,212.4
153.2,162.8,178.8,189.6,180.4,184.4,177.2,203.2
147.2,157.2,172,182.4,173.6,178,170.8,196
141.6,151.2,165.2,176,166.8,171.2,164,188.8
141.2,150.8,164.8,175.6,166.4,170.8,163.6,188.4
186.8,199.2,218.4,231.2,220,225.2,216.4,248
