196,207.6,228.8,240,229.6,234.8,226,258.4
184.4,194.8,214.4,224.8,215.6,220.4,212,242.4
178,188.4,207.6,217.6,208.8,213.2,205.2,234.4
174.4,184.4,203.2,213.2,204,208.4,200.8,229.2
170.8,181.2,199.2,208.8,200.4,204.4,196.8,224.4
167.2,177.2,194.8,204,196,200,192.8,220
162.8,172.4,189.6,199.2,190.8,194.8,187.6,214
159.2,168.4,185.2,194.4,186.4,190.4,183.6,208.8
175.2,185.2,204.4,214,205.2,209.6,202,230.4
190,201.6,222,232.8,223.2,227.6,219.2,250.4
186.8,198.4,218.4,228.8,219.6,224.4,215.6,246.4
185.2,196.4,216,226.4,217.2,222,213.6,244
183.6,193.6,214,224,215.2,219.6,211.2,241.6
181.6,192,211.6,222,212.8,217.2,208.8,239.2
179.2,189.6,208.8,219.2,210.4,214.4,206.4,236
176.8,187.2,206,216.4,207.2,211.2,204,232.8
186.8,198,218,228.4,219.2,224,215.6,246
180.4,190.8,210,220.4,211.2,215.6,207.6,237.2
174,184,202.4,212.4,203.6,205.2,200.4,228.8
167.6,177.6,195.2,204.8,196.8,200.8,193.2,220.4
160.8,170,187.2,196.4,188,192.4,185.2,211.2
154.8,163.6,180.4,189.2,181.6,185.2,178.8,203.2
148.8,157.6,173.6,182,174.4,178.4,172,196
148.4,157.2,173.2,181.6,174.8,178.4,171.6,203.6
196.4,207.6,228.8,240,230,234.8,226.4,258.4
