184.8,197.6,216,227.2,217.2,221.6,212.4,244
173.2,184.8,202.4,212.4,203.6,207.2,198.8,228
167.2,179.2,195.6,205.2,196.8,200.8,192.4,220.8
163.6,175.2,191.2,201.2,192.4,196,188,215.6
160.4,171.6,187.6,197.2,188.4,192.4,184,211.2
156.8,167.6,183.2,192.8,184,188,180.4,206.4
152.4,163.2,178.8,187.6,179.6,183.2,175.6,201.2
148.8,159.6,174.4,183.2,175.2,178.8,171.2,196.4
164.4,176,192.4,202,193.6,197.6,188.8,217.2
179.2,191.2,209.2,220,210,214.4,205.6,236
176.4,188.4,205.6,216.4,206.8,211.2,202.4,232
174.4,186.4,203.6,214.4,204.8,208.8,200.4,229.6
172.4,184.4,202,212,202.8,206.8,198.4,227.6
170.8,182.8,199.6,209.6,200.4,204.4,196,224.8
168.4,180.4,197.2,206.8,198,202,193.6,222.4
166.4,178,194.4,204,195.6,199.6,191.2,219.6
176,188,205.6,216.4,206.4,210.8,202,232
169.6,181.6,198.4,208.4,199.2,203.2,194.8,223.6
163.6,175.2,191.2,200.8,192.4,196.4,188,215.6
158,168.4,184.4,194,185.2,189.2,181.6,208
151.2,161.6,177.2,185.6,178,181.6,173.6,199.6
145.2,155.6,170,179.2,171.2,174.8,167.2,192
140,149.6,163.6,172.4,164.4,168,161.2,184.8
139.2,149.2,163.2,172,164,167.6,160.8,184.4
185.2,197.6,216.4,227.2,217.2,221.6,212.4,244
